t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:41:04+0200 lvl=info msg="join connections" obj=join id=33f4f4688221 l=127.0.0.1:8000 r=81.221.235.143:62994
t=2026-05-15T15:41:04+0200 lvl=info msg="join connections" obj=join id=634abb86e592 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:04+0200 lvl=info msg="join connections" obj=join id=af69baee27ea l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:04+0200 lvl=info msg="join connections" obj=join id=83e15c62d41f l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:05+0200 lvl=info msg="join connections" obj=join id=8b8fbdd54776 l=127.0.0.1:8000 r=81.221.235.143:63845
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=8737bb9335ad l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=d7fbc0d3945a l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=09d6e60cf955 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=92a3612489e9 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=1670ab436ab2 l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=2b462db0101f l=127.0.0.1:8000 r=81.221.235.143:63519
t=2026-05-15T15:41:06+0200 lvl=info msg="join connections" obj=join id=6d857987a0fa l=127.0.0.1:8000 r=81.221.235.143:62291
t=2026-05-15T15:41:08+0200 lvl=info msg="join connections" obj=join id=989832328827 l=127.0.0.1:8000 r=81.221.235.143:64997
t=2026-05-15T15:41:08+0200 lvl=info msg="join connections" obj=join id=0fbabdf99eca l=127.0.0.1:8000 r=81.221.235.143:61693
t=2026-05-15T15:41:10+0200 lvl=info msg="join connections" obj=join id=ebcda932e485 l=127.0.0.1:8000 r=81.221.235.143:60849
t=2026-05-15T15:41:11+0200 lvl=info msg="join connections" obj=join id=b979e56aaf1a l=127.0.0.1:8000 r=81.221.235.143:63062
t=2026-05-15T15:41:12+0200 lvl=info msg="join connections" obj=join id=e20ef310ce67 l=127.0.0.1:8000 r=81.221.235.143:63226
t=2026-05-15T15:41:13+0200 lvl=info msg="join connections" obj=join id=43b41e05fee2 l=127.0.0.1:8000 r=81.221.235.143:62277
t=2026-05-15T15:41:14+0200 lvl=info msg="join connections" obj=join id=f77055b281ad l=127.0.0.1:8000 r=81.221.235.143:61374
t=2026-05-15T15:41:15+0200 lvl=info msg="join connections" obj=join id=81ecf827fc66 l=127.0.0.1:8000 r=81.221.235.143:60263
t=2026-05-15T15:41:16+0200 lvl=info msg="join connections" obj=join id=0c0ca8c224de l=127.0.0.1:8000 r=81.221.235.143:63440
